x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
0.0025059807,0.0043287925,0.0496456012,0.01,0.0009634556,0.00165325,0.0,139.6166,2.015114432651899e-06,1.0078000514113228e-06,1.7449999631935498e-06
-0.0040451,0.002939,0.0,0.01,0.0,0.0,0.0,-2.069855,0.0,0.0,0.0
-0.0040419752,0.0029431466,0.0003524516,0.01,1.03294e-05,-2.70148e-05,0.0,3.067002,4.3827501627902166e-08,-3.9100001458791667e-08,1.9799999861902506e-08
-0.0029389,-0.0040451,0.0,0.01,0.0,0.0,0.0,2.426488,0.0,0.0,0.0
-0.0029441216,-0.0040412861,0.0003384917,0.01,-5.25599e-05,-8.98773e-05,0.0,5.159752,2.5685988447321506e-08,-2.1600000010835174e-08,1.3900000261912737e-08
-0.0040451,-0.002939,0.05,0.01,0.0,0.0,0.0,83.77155,0.0,0.0,0.0
-0.0040436138,-0.0029442726,0.0496437284,0.01,-0.0014867078,-0.0010979312,0.0,164.5477,2.0333609427325428e-06,-1.6445000028397772e-06,-1.195900040329434e-06
-0.0029389,0.0040451,0.05,0.01,0.0,0.0,0.0,69.45419,0.0,0.0,0.0
-0.0029452436,0.004042846,0.0496615,0.01,-0.0010816874,0.0014768419,0.0,147.9918,1.9230021734983893e-06,-1.1436000022513326e-06,1.5460000213352032e-06
0.0040451,-0.002939,0.0,0.01,0.0,0.0,0.0,2.968937,0.0,0.0,0.0
0.0040418142,-0.0029433697,0.0003381534,0.01,-2.15575e-05,1.83977e-05,0.0,5.346306,3.3462367099446055e-08,1.4200000286734848e-08,3.03000007306764e-08
0.0029389,0.0040451,0.0,0.01,0.0,0.0,0.0,2.135709,0.0,0.0,0.0
0.002942353,0.0040425648,0.0003580243,0.01,5.89846e-05,1.54931e-05,0.0,6.816572,6.807238861483711e-08,4.520000018715109e-08,5.0899998882414366e-08
0.0040451,0.002939,0.05,0.01,0.0,0.0,0.0,75.0915,0.0,0.0,0.0
0.0040442372,0.0029433365,0.0496428693,0.01,0.0015574825,0.0011287723,0.0,152.2213,2.007587909247377e-06,1.6317000017807004e-06,1.1695999546645908e-06
0.0029389,-0.0040451,0.05,0.01,0.0,0.0,0.0,83.20978,0.0,0.0,0.0
0.0029434255,-0.0040442544,0.0496453754,0.01,0.0011596771,-0.0016083806,0.0,162.7165,2.0745578694914e-06,1.257100052498572e-06,-1.6502999642398208e-06
-0.0040451,-0.002939,0.0,0.01,-2e-09,-2e-09,0.0,4.422857,0.0,0.0,0.0
-0.002939,0.0040451,0.0,0.01,4e-10,-4e-10,0.0,10.30759,0.0,0.0,0.0
-0.0040451,0.002939,0.05,0.01,2.59e-08,3.65e-08,0.0,114.9268,0.0,0.0,0.0
-0.002939,-0.0040451,0.05,0.01,-3.6e-08,2.6e-08,0.0,163.3567,0.0,0.0,0.0
6.84e-08,0.005,0.05,0.01,0.0,0.0,0.0,40.9998,0.0,0.0,0.0
6.84e-08,-0.005,0.0,0.01,3e-10,3.4e-09,0.0,6.662816,0.0,0.0,0.0
-6.84e-08,-0.005,0.05,0.01,-3.6e-08,2e-10,0.0,126.5383,0.0,0.0,0.0
-6.84e-08,0.005,0.0,0.01,-1e-09,-0.0,0.0,5.233825,0.0,0.0,0.0
0.0037157,-0.0033457,0.0,0.01,0.0,0.0,0.0,6.113082,0.0,0.0,0.0
0.0037157,0.0033457,0.05,0.01,0.0,0.0,0.0,103.7033,0.0,0.0,0.0
0.0033456,0.0037158,0.0,0.01,-2.4e-09,-3.3e-09,0.0,6.104562,0.0,0.0,0.0
0.0033455999,-0.0037158001,0.05,0.01,-5.18e-08,-5.65e-08,0.0,117.6125,1.414213607331405e-10,-1.000000013351432e-10,-1.000000013351432e-10
-0.0037157,0.0033457,0.0,0.01,0.0,0.0,0.0,-0.3570515,0.0,0.0,0.0
-0.0037157,-0.0033457,0.05,0.01,0.0,0.0,0.0,144.0097,0.0,0.0,0.0
-0.0033456,-0.0037158,0.0,0.01,-3.5e-09,-2.8e-09,0.0,3.23784,0.0,0.0,0.0
-0.0033455999,0.0037158001,0.05,0.01,5.48e-08,5.07e-08,0.0,118.3687,1.414213607331405e-10,1.000000013351432e-10,1.000000013351432e-10
0.0040451,0.002939,0.0,0.01,4e-10,-8e-10,0.0,0.7035251,0.0,0.0,0.0
0.002939,-0.0040451,0.0,0.01,1.4e-09,3e-10,0.0,3.514991,0.0,0.0,0.0
0.002939,0.0040451,0.05,0.01,3.72e-08,-2.44e-08,0.0,142.7126,0.0,0.0,0.0
0.0040451,-0.002939,0.05,0.01,-2.3e-08,-3.96e-08,0.0,81.97978,0.0,0.0,0.0
-0.0049742352,0.0004914004,-0.0,0.01,0.0,0.0,0.0,-1.433926,0.0,0.0,0.0
-0.0049539964,0.0006459176,0.0003414918,0.01,3.597e-06,-3.61215e-05,0.0,0.8292473,5.881743092572833e-08,-5.100000066704524e-08,2.930000064793603e-08
-0.0049742352,-0.0004914003,0.05,0.01,0.0,0.0,0.0,44.75099,0.0,0.0,0.0
-0.0049554222,-0.0006488581,0.0496587296,0.01,-0.0017876137,-0.0002326858,0.0,126.9009,1.9296207938168664e-06,-1.9116000657959376e-06,-2.6309999157092534e-07
0.0037157,0.0033457,0.0,0.01,0.0,0.0,0.0,0.1506369,0.0,0.0,0.0
0.0037169952,0.0033443056,0.0003676113,0.01,7.47975e-05,3.52636e-05,0.0,5.786966,7.822512060329245e-08,5.0899998882414366e-08,5.940000136206436e-08
0.0037157,-0.0033457,0.05,0.01,0.0,0.0,0.0,59.45146,0.0,0.0,0.0
